state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
NH,1910,1154,303,851,98
NH,1911,1823,747,1076,129
NH,1912,2594,1149,1445,164
NH,1913,3118,1406,1712,190
NH,1914,4735,2161,2574,244
NH,1915,5733,2598,3135,267
NH,1916,5568,2583,2985,244
NH,1917,5846,2726,3120,268
NH,1918,6380,2996,3384,282
NH,1919,5952,2781,3171,267
NH,1920,6703,3104,3599,284
NH,1921,6984,3381,3603,283
NH,1922,6707,3248,3459,286
NH,1923,6437,3038,3399,271
NH,1924,7246,3460,3786,302
NH,1925,6760,3302,3458,258
NH,1926,6435,3157,3278,268
NH,1927,6556,3247,3309,262
NH,1928,6489,3154,3335,254
NH,1929,6299,3184,3115,258
NH,1930,6359,3210,3149,245
NH,1931,5928,2998,2930,248
NH,1932,6110,3058,3052,246
NH,1933,5719,2898,2821,233
NH,1934,6022,3076,2946,246
NH,1935,6151,3031,3120,242
NH,1936,5988,3077,2911,236
NH,1937,6018,3032,2986,239
NH,1938,6170,3098,3072,250
NH,1939,6363,3325,3038,245
NH,1940,6827,3503,3324,255
NH,1941,6982,3569,3413,252
NH,1942,7967,4072,3895,273
NH,1943,7976,4134,3842,282
NH,1944,7056,3700,3356,258
NH,1945,6989,3697,3292,256
NH,1946,9625,5048,4577,307
NH,1947,11739,6021,5718,330
NH,1948,11018,5648,5370,335
NH,1949,10405,5433,4972,305
NH,1950,10116,5288,4828,314
NH,1951,10571,5500,5071,324
NH,1952,10596,5625,4971,330
NH,1953,10213,5330,4883,323
NH,1954,10798,5658,5140,336
NH,1955,10870,5757,5113,336
NH,1956,11265,5903,5362,334
NH,1957,11632,6127,5505,359
NH,1958,11576,6220,5356,361
NH,1959,11558,6044,5514,365
NH,1960,11580,6094,5486,368
NH,1961,11768,6147,5621,371
NH,1962,11670,6117,5553,373
NH,1963,11526,6102,5424,379
NH,1964,11360,5983,5377,379
NH,1965,10745,5699,5046,369
NH,1966,10175,5500,4675,362
NH,1967,10201,5502,4699,359
NH,1968,10067,5316,4751,360
NH,1969,10466,5650,4816,362
NH,1970,10887,5811,5076,382
NH,1971,10639,5731,4908,380
NH,1972,9577,5129,4448,359
NH,1973,9061,4876,4185,352
NH,1974,9407,5093,4314,361
NH,1975,9145,4909,4236,347
NH,1976,9098,4811,4287,343
NH,1977,10023,5485,4538,362
NH,1978,10161,5469,4692,347
NH,1979,10509,5690,4819,348
NH,1980,11358,6067,5291,371
NH,1981,11491,6146,5345,377
NH,1982,11846,6310,5536,391
NH,1983,11467,6212,5255,363
NH,1984,11776,6433,5343,373
NH,1985,12779,6856,5923,408
NH,1986,12971,6975,5996,394
NH,1987,13912,7577,6335,416
NH,1988,14334,7701,6633,421
NH,1989,14879,7990,6889,460
NH,1990,14462,7831,6631,460
NH,1991,13218,7156,6062,429
NH,1992,12653,6801,5852,435
NH,1993,12221,6737,5484,440
NH,1994,11777,6519,5258,420
NH,1995,11374,6330,5044,428
NH,1996,11215,6192,5023,436
NH,1997,10863,5949,4914,426
NH,1998,10894,6054,4840,447
NH,1999,10568,5801,4767,444
NH,2000,10539,5962,4577,442
NH,2001,10591,5748,4843,469
NH,2002,10267,5727,4540,463
NH,2003,10168,5590,4578,464
NH,2004,10319,5637,4682,487
NH,2005,10017,5593,4424,488
NH,2006,9962,5458,4504,517
NH,2007,9781,5467,4314,504
NH,2008,9537,5276,4261,509
NH,2009,9040,5100,3940,478
NH,2010,8907,5015,3892,508
NH,2011,8853,4902,3951,506
NH,2012,8451,4733,3718,491
NH,2013,8616,4873,3743,517
NH,2014,8357,4585,3772,525
NH,2015,8357,4588,3769,506
NH,2016,8197,4628,3569,513
NH,2017,7796,4298,3498,478
NH,2018,7813,4254,3559,493
NH,2019,7820,4306,3514,508
NH,2020,7781,4326,3455,493
NH,2021,8354,4654,3700,519
NH,2022,7923,4373,3550,513
NH,2023,8022,4307,3715,532
